ref,remark,category
TXNP500706,Vendor payment,Subscription
TXNP500707,Office stationery,Food
TXNP500708,Zomato lunch,Salary
TXNP500709,Electricity bill payment,Salary
TXNP500710,Swiggy dinner,Business Expense
TXNP500711,Wallet top-up,Fuel
TXNP500712,Parking fee,Tax
TXNP500713,Consulting fee,Shopping
TXNP500714,Amazon order,EMI
TXNP500715,Parking fee,Salary
TXNP500716,Netflix subscription,Subscription
TXNP500717,Prime Video subscription,Insurance
TXNP500718,Consulting fee,Subscription
TXNP500719,Parking fee,Shopping
TXNP500720,Salary credited,Recharge
TXNP500721,GST tax payment,Insurance
TXNP500722,Office stationery,EMI
TXNP500723,UPI to grocery,Business Expense
TXNP500724,Mobile recharge,Subscription
TXNP500725,Zomato lunch,Service Expense
TXNP500726,UPI to grocery,Travel
TXNP500727,Flight booking MakeMyTrip,Shopping
TXNP500728,Zomato lunch,Shopping
TXNP500729,Parking fee,Subscription
TXNP500730,Vendor payment,Salary
TXNP500731,Prime Video subscription,Travel
TXNP500732,Prime Video subscription,Travel
TXNP500733,GST tax payment,Recharge
TXNP500734,Swiggy dinner,Parking
TXNP500735,Amazon order,EMI
TXNP500736,Amazon order,EMI
TXNP500737,Loan EMI debit,Salary
TXNP500738,Wallet top-up,Food
TXNP500739,Internet broadband bill,Shopping
TXNP500740,Amazon order,EMI
TXNP500741,Restaurant dinner,Business Expense
TXNP500742,Flight booking MakeMyTrip,Subscription
TXNP500743,Swiggy dinner,Utility
TXNP500744,Gym membership,EMI
TXNP500745,Insurance premium debit,Subscription
TXNP500746,Loan EMI debit,Salary
TXNP500747,Refund from Amazon,Grocery
TXNP500748,Office stationery,Utility
TXNP500749,Fuel refill HP petrol,Wallet
TXNP500750,Wallet top-up,Utility
TXNP500751,Amazon order,Parking
TXNP500752,Insurance premium debit,Food
TXNP500753,Prime Video subscription,Fuel
TXNP500754,Parking fee,Shopping
TXNP500755,Electricity bill payment,Food
TXNP500756,GST tax payment,Insurance
TXNP500757,Parking fee,Travel
TXNP500758,Office stationery,Travel
TXNP500759,Refund from Amazon,Wallet
TXNP500760,Wallet top-up,Subscription
TXNP500761,Insurance premium debit,Business Expense
TXNP500762,Mobile recharge,Travel
TXNP500763,Parking fee,Salary
TXNP500764,GST tax payment,Salary
TXNP500765,Insurance premium debit,Utility
TXNP500766,GST tax payment,Insurance
TXNP500767,Parking fee,Food
TXNP500768,Wallet top-up,Food
TXNP500769,Internet broadband bill,Service Expense
TXNP500770,Wallet top-up,Subscription
TXNP500771,Netflix subscription,Subscription
TXNP500772,UPI to grocery,EMI
TXNP500773,Loan EMI debit,Insurance
TXNP500774,Loan EMI debit,Shopping
TXNP500775,Vendor payment,Utility
TXNP500776,Mobile recharge,Utility
TXNP500777,Salary credited,EMI
TXNP500778,Refund from Amazon,Food
TXNP500779,Flight booking MakeMyTrip,Business Expense
TXNP500780,Internet broadband bill,Grocery
TXNP500781,Flight booking MakeMyTrip,Travel
TXNP500782,Parking fee,Refund
TXNP500783,Mobile recharge,Shopping
TXNP500784,Mobile recharge,Fuel
TXNP500785,Parking fee,Shopping
TXNP500786,Restaurant dinner,Wallet
TXNP500787,Internet broadband bill,Food
TXNP500788,Prime Video subscription,Utility
TXNP500789,Mobile recharge,Grocery
TXNP500790,Office stationery,Refund
TXNP500791,Parking fee,Subscription
TXNP500792,GST tax payment,EMI
TXNP500793,Gym membership,Travel
TXNP500794,Mobile recharge,Insurance
TXNP500795,Loan EMI debit,Subscription
TXNP500796,Parking fee,Business Expense
TXNP500797,Loan EMI debit,Wallet
TXNP500798,Loan EMI debit,Insurance
TXNP500799,Netflix subscription,Subscription
TXNP500800,Mobile recharge,Food
TXNP500801,Zomato lunch,EMI
TXNP500802,Wallet top-up,Salary
TXNP500803,Prime Video subscription,Business Expense
TXNP500804,Refund from Amazon,Tax
TXNP500805,Salary credited,Grocery
TXNP500806,Fuel refill HP petrol,Wallet
TXNP500807,Internet broadband bill,Food
TXNP500808,Mobile recharge,Grocery
TXNP500809,Loan EMI debit,Parking
TXNP500810,Internet broadband bill,Utility
TXNP500811,Salary credited,Salary
TXNP500812,Wallet top-up,Wallet
TXNP500813,Flight booking MakeMyTrip,Travel
TXNP500814,Vendor payment,Salary
TXNP500815,Vendor payment,Insurance
TXNP500816,Zomato lunch,Refund
TXNP500817,Office stationery,Grocery
TXNP500818,Netflix subscription,Utility
TXNP500819,Restaurant dinner,Wallet
TXNP500820,Flight booking MakeMyTrip,Shopping
TXNP500821,Prime Video subscription,Subscription
TXNP500822,Loan EMI debit,Business Expense
TXNP500823,Internet broadband bill,Parking
TXNP500824,Vendor payment,Shopping
TXNP500825,Insurance premium debit,Parking
TXNP500826,Vendor payment,Food
TXNP500827,Flight booking MakeMyTrip,EMI
TXNP500828,Zomato lunch,Salary
TXNP500829,Office stationery,Salary
TXNP500830,Prime Video subscription,Insurance
TXNP500831,Restaurant dinner,Food
TXNP500832,Vendor payment,Shopping
TXNP500833,Office stationery,Recharge
TXNP500834,Restaurant dinner,Shopping
TXNP500835,Office stationery,Wallet
TXNP500836,Zomato lunch,EMI
TXNP500837,Salary credited,Business Expense
TXNP500838,Gym membership,Business Expense
TXNP500839,Electricity bill payment,Fuel
TXNP500840,Insurance premium debit,EMI
TXNP500841,Refund from Amazon,EMI
TXNP500842,Mobile recharge,Tax
TXNP500843,Fuel refill HP petrol,EMI
TXNP500844,Refund from Amazon,Utility
TXNP500845,Loan EMI debit,Salary
TXNP500846,Wallet top-up,Food
TXNP500847,Netflix subscription,Fuel
TXNP500848,Amazon order,Business Expense
TXNP500849,Prime Video subscription,Shopping
TXNP500850,Fuel refill HP petrol,EMI
TXNP500851,Flight booking MakeMyTrip,Tax
TXNP500852,Office stationery,Business Expense
TXNP500853,GST tax payment,Food
TXNP500854,Internet broadband bill,Food
TXNP500855,Prime Video subscription,Shopping
TXNP500856,Salary credited,Subscription
TXNP500857,Vendor payment,Grocery
TXNP500858,Refund from Amazon,Subscription
TXNP500859,Fuel refill HP petrol,Insurance
TXNP500860,Flight booking MakeMyTrip,Refund
TXNP500861,Gym membership,Salary
TXNP500862,UPI to grocery,Fuel
TXNP500863,Zomato lunch,Food
TXNP500864,Prime Video subscription,Utility
TXNP500865,Amazon order,Insurance
TXNP500866,Insurance premium debit,Parking
TXNP500867,Vendor payment,Refund
TXNP500868,Electricity bill payment,Travel
TXNP500869,Wallet top-up,Salary
TXNP500870,Consulting fee,Food
TXNP500871,Consulting fee,Grocery
TXNP500872,Consulting fee,Recharge
TXNP500873,Electricity bill payment,Subscription
TXNP500874,UPI to grocery,Insurance
TXNP500875,GST tax payment,Salary
TXNP500876,Internet broadband bill,EMI
TXNP500877,Vendor payment,Refund
TXNP500878,Refund from Amazon,Food
TXNP500879,Refund from Amazon,Business Expense
TXNP500880,Wallet top-up,Business Expense
TXNP500881,Restaurant dinner,Recharge
TXNP500882,Parking fee,EMI
TXNP500883,Prime Video subscription,Shopping
TXNP500884,Refund from Amazon,Grocery
TXNP500885,Refund from Amazon,EMI
TXNP500886,Parking fee,Food
TXNP500887,Parking fee,Insurance
TXNP500888,GST tax payment,Insurance
TXNP500889,Restaurant dinner,Salary
TXNP500890,UPI to grocery,Food
TXNP500891,Netflix subscription,Utility
TXNP500892,Wallet top-up,Utility
TXNP500893,Consulting fee,Business Expense
TXNP500894,Wallet top-up,Salary
TXNP500895,Electricity bill payment,Food
TXNP500896,Fuel refill HP petrol,Utility
TXNP500897,Electricity bill payment,Service Expense
TXNP500898,Loan EMI debit,Refund
TXNP500899,Vendor payment,Shopping
TXNP500900,Mobile recharge,Fuel
TXNP500901,UPI to grocery,Travel
TXNP500902,Fuel refill HP petrol,Subscription
TXNP500903,Refund from Amazon,Shopping
TXNP500904,Refund from Amazon,Service Expense
TXNP500905,Internet broadband bill,Subscription
TXNP500906,Internet broadband bill,Subscription
TXNP500907,Office stationery,Recharge
TXNP500908,GST tax payment,Recharge
TXNP500909,Amazon order,Food
TXNP500910,Consulting fee,Travel
TXNP500911,UPI to grocery,Refund
TXNP500912,Insurance premium debit,Insurance
TXNP500913,Prime Video subscription,Food
TXNP500914,Electricity bill payment,Travel
TXNP500915,Fuel refill HP petrol,Business Expense
TXNP500916,Office stationery,Utility
TXNP500917,Amazon order,Business Expense
TXNP500918,GST tax payment,Refund
TXNP500919,Electricity bill payment,Business Expense
TXNP500920,Office stationery,Food
TXNP500921,Fuel refill HP petrol,EMI
TXNP500922,Amazon order,Subscription
TXNP500923,Consulting fee,Shopping
TXNP500924,Internet broadband bill,Business Expense
TXNP500925,Fuel refill HP petrol,Fuel
TXNP500926,Netflix subscription,Fuel
TXNP500927,Office stationery,Shopping
TXNP500928,Mobile recharge,Wallet
TXNP500929,Internet broadband bill,EMI
TXNP500930,Salary credited,Salary
TXNP500931,Internet broadband bill,Shopping
TXNP500932,Swiggy dinner,Salary
TXNP500933,Amazon order,Parking
TXNP500934,GST tax payment,Parking
TXNP500935,Prime Video subscription,Food
TXNP500936,Fuel refill HP petrol,Travel
TXNP500937,Internet broadband bill,EMI
TXNP500938,Prime Video subscription,Insurance
TXNP500939,Netflix subscription,Tax
TXNP500940,GST tax payment,Subscription
TXNP500941,Salary credited,Food
TXNP500942,Wallet top-up,Tax
TXNP500943,Swiggy dinner,Shopping
TXNP500944,Netflix subscription,Parking
TXNP500945,Wallet top-up,Salary
TXNP500946,Office stationery,Wallet
TXNP500947,Prime Video subscription,Insurance
TXNP500948,Restaurant dinner,Insurance
TXNP500949,Insurance premium debit,Grocery
TXNP500950,Vendor payment,Subscription
TXNP500951,Office stationery,Utility
TXNP500952,Vendor payment,Recharge
TXNP500953,Mobile recharge,Shopping
TXNP500954,Prime Video subscription,Shopping
TXNP500955,Mobile recharge,Refund
TXNP500956,Wallet top-up,Food
TXNP500957,Consulting fee,Utility
TXNP500958,Refund from Amazon,Utility
TXNP500959,Insurance premium debit,Food
TXNP500960,Wallet top-up,Travel
TXNP500961,Gym membership,Subscription
TXNP500962,Consulting fee,Salary
TXNP500963,Vendor payment,Food
TXNP500964,Mobile recharge,Grocery
TXNP500965,Prime Video subscription,Salary
TXNP500966,GST tax payment,Insurance
TXNP500967,Amazon order,Wallet
TXNP500968,Restaurant dinner,Utility
TXNP500969,Office stationery,Shopping
TXNP500970,Salary credited,Salary
TXNP500971,Insurance premium debit,Business Expense
TXNP500972,Vendor payment,Parking
TXNP500973,Office stationery,Grocery
TXNP500974,Office stationery,Shopping
TXNP500975,Restaurant dinner,Service Expense
TXNP500976,Restaurant dinner,Subscription
TXNP500977,Electricity bill payment,Food
TXNP500978,Swiggy dinner,Salary
TXNP500979,Gym membership,Salary
TXNP500980,Mobile recharge,Wallet
TXNP500981,Amazon order,Food
TXNP500982,GST tax payment,Salary
TXNP500983,Insurance premium debit,Wallet
TXNP500984,Prime Video subscription,Salary
TXNP500985,Gym membership,Tax
TXNP500986,Consulting fee,Shopping
TXNP500987,Restaurant dinner,Salary
TXNP500988,Fuel refill HP petrol,Wallet
TXNP500989,Amazon order,Food
TXNP500990,Refund from Amazon,Parking
TXNP500991,Fuel refill HP petrol,Refund
TXNP500992,Mobile recharge,Shopping
TXNP500993,Vendor payment,Travel
TXNP500994,Mobile recharge,Shopping
TXNP500995,Insurance premium debit,Subscription
TXNP500996,Vendor payment,EMI
TXNP500997,Office stationery,Refund
TXNP500998,Amazon order,Salary
TXNP500999,Gym membership,Food
TXNP501000,Mobile recharge,Business Expense
TXNP501001,Netflix subscription,Tax
TXNP501002,Fuel refill HP petrol,Shopping
TXNP501003,Internet broadband bill,Shopping
TXNP501004,Gym membership,Business Expense
TXNP501005,Loan EMI debit,Subscription
TXNP501006,Insurance premium debit,Grocery
TXNP501007,Restaurant dinner,Food
TXNP501008,Fuel refill HP petrol,EMI
TXNP501009,Zomato lunch,Service Expense
TXNP501010,Restaurant dinner,Salary
TXNP501011,Restaurant dinner,Utility
TXNP501012,Netflix subscription,Travel
TXNP501013,Gym membership,Salary
TXNP501014,Restaurant dinner,Fuel
TXNP501015,Insurance premium debit,Food
TXNP501016,Vendor payment,EMI
TXNP501017,Office stationery,Food
TXNP501018,Prime Video subscription,Refund
TXNP501019,Netflix subscription,Utility
TXNP501020,Swiggy dinner,Wallet
TXNP501021,Wallet top-up,Tax
TXNP501022,Refund from Amazon,Travel
TXNP501023,Wallet top-up,Utility
TXNP501024,Office stationery,Utility
TXNP501025,Mobile recharge,Shopping
TXNP501026,Flight booking MakeMyTrip,EMI
TXNP501027,Loan EMI debit,Food
TXNP501028,Mobile recharge,Insurance
TXNP501029,Insurance premium debit,Salary
TXNP501030,Flight booking MakeMyTrip,Salary
TXNP501031,Insurance premium debit,Food
TXNP501032,GST tax payment,Insurance
TXNP501033,Mobile recharge,Utility
TXNP501034,Swiggy dinner,Recharge
TXNP501035,Internet broadband bill,Shopping
TXNP501036,Zomato lunch,Service Expense
TXNP501037,Swiggy dinner,Subscription
TXNP501038,Salary credited,Shopping
TXNP501039,Zomato lunch,Shopping
TXNP501040,UPI to grocery,Food
TXNP501041,Swiggy dinner,Shopping
TXNP501042,Flight booking MakeMyTrip,Insurance
TXNP501043,Prime Video subscription,Business Expense
TXNP501044,Loan EMI debit,Insurance
TXNP501045,GST tax payment,Business Expense
TXNP501046,Wallet top-up,Food
TXNP501047,Salary credited,Utility
TXNP501048,Parking fee,Travel
TXNP501049,Fuel refill HP petrol,EMI
TXNP501050,Fuel refill HP petrol,Insurance
TXNP501051,Gym membership,Shopping
TXNP501052,Parking fee,Salary
TXNP501053,Wallet top-up,Parking
TXNP501054,Mobile recharge,Utility
TXNP501055,Flight booking MakeMyTrip,Parking
TXNP501056,Salary credited,Parking
TXNP501057,Insurance premium debit,Tax
TXNP501058,Swiggy dinner,Insurance
TXNP501059,Zomato lunch,Wallet
TXNP501060,Insurance premium debit,Service Expense
TXNP501061,Consulting fee,Shopping
TXNP501062,Consulting fee,Food
TXNP501063,Fuel refill HP petrol,Recharge
TXNP501064,Fuel refill HP petrol,Food
TXNP501065,Netflix subscription,Food
TXNP501066,Vendor payment,EMI
TXNP501067,GST tax payment,Wallet
TXNP501068,Wallet top-up,Business Expense
TXNP501069,Amazon order,Utility
TXNP501070,Electricity bill payment,Subscription
TXNP501071,Refund from Amazon,Insurance
TXNP501072,Restaurant dinner,Business Expense
TXNP501073,Insurance premium debit,Refund
TXNP501074,Office stationery,Tax
TXNP501075,Internet broadband bill,Salary
TXNP501076,Office stationery,Business Expense
TXNP501077,UPI to grocery,Salary
TXNP501078,Gym membership,Service Expense
TXNP501079,Zomato lunch,Parking
TXNP501080,Parking fee,Shopping
TXNP501081,Parking fee,Utility
TXNP501082,Office stationery,Travel
TXNP501083,Refund from Amazon,Shopping
TXNP501084,Wallet top-up,Service Expense
TXNP501085,Netflix subscription,Grocery
TXNP501086,Internet broadband bill,Grocery
TXNP501087,Zomato lunch,Parking
TXNP501088,UPI to grocery,Insurance
TXNP501089,Amazon order,Business Expense
TXNP501090,UPI to grocery,EMI
TXNP501091,Prime Video subscription,Insurance
TXNP501092,Insurance premium debit,Wallet
TXNP501093,Wallet top-up,Wallet
TXNP501094,Consulting fee,Insurance
TXNP501095,Flight booking MakeMyTrip,Wallet
TXNP501096,GST tax payment,Food
TXNP501097,Mobile recharge,Shopping
TXNP501098,Amazon order,Travel
TXNP501099,Office stationery,Shopping
TXNP501100,Loan EMI debit,Insurance
TXNP501101,Electricity bill payment,Shopping
TXNP501102,Insurance premium debit,Recharge
TXNP501103,Swiggy dinner,Travel
TXNP501104,Loan EMI debit,Shopping
TXNP501105,Loan EMI debit,Salary
TXNP501106,Internet broadband bill,Grocery
TXNP501107,Mobile recharge,Wallet
TXNP501108,Internet broadband bill,Business Expense
TXNP501109,Fuel refill HP petrol,Salary
TXNP501110,Consulting fee,Travel
TXNP501111,Electricity bill payment,EMI
TXNP501112,GST tax payment,Fuel
TXNP501113,Refund from Amazon,Subscription
TXNP501114,Insurance premium debit,EMI
TXNP501115,Internet broadband bill,Food
TXNP501116,Consulting fee,Salary
TXNP501117,Gym membership,Salary
TXNP501118,Wallet top-up,Shopping
TXNP501119,Consulting fee,Salary
TXNP501120,Vendor payment,Recharge
TXNP501121,Mobile recharge,Food
TXNP501122,Parking fee,Refund
TXNP501123,Salary credited,Utility
TXNP501124,Loan EMI debit,Shopping
TXNP501125,Electricity bill payment,Insurance
TXNP501126,Parking fee,Parking
TXNP501127,Parking fee,Salary
TXNP501128,Insurance premium debit,Service Expense
TXNP501129,Flight booking MakeMyTrip,Wallet
TXNP501130,GST tax payment,Wallet
TXNP501131,Fuel refill HP petrol,Fuel
TXNP501132,Restaurant dinner,Salary
TXNP501133,Insurance premium debit,Salary
TXNP501134,GST tax payment,Wallet
TXNP501135,Refund from Amazon,EMI
TXNP501136,GST tax payment,Subscription
TXNP501137,Flight booking MakeMyTrip,Food
TXNP501138,Insurance premium debit,Grocery
TXNP501139,Fuel refill HP petrol,Travel
TXNP501140,Gym membership,Shopping
TXNP501141,Parking fee,Fuel
TXNP501142,Wallet top-up,Insurance
TXNP501143,Wallet top-up,Subscription
TXNP501144,Netflix subscription,Tax
TXNP501145,Salary credited,Insurance
TXNP501146,Loan EMI debit,Insurance
TXNP501147,Amazon order,Subscription
TXNP501148,Prime Video subscription,Shopping
TXNP501149,Swiggy dinner,Salary
TXNP501150,Swiggy dinner,Shopping
TXNP501151,Zomato lunch,Utility
TXNP501152,Office stationery,Insurance
TXNP501153,UPI to grocery,Recharge
TXNP501154,Vendor payment,Wallet
TXNP501155,UPI to grocery,Salary
TXNP501156,Vendor payment,Travel
TXNP501157,Flight booking MakeMyTrip,EMI
TXNP501158,Salary credited,Insurance
TXNP501159,Internet broadband bill,Refund
TXNP501160,Swiggy dinner,EMI
TXNP501161,UPI to grocery,Grocery
TXNP501162,Vendor payment,Grocery
TXNP501163,Insurance premium debit,Business Expense
TXNP501164,Consulting fee,Subscription
TXNP501165,Office stationery,Recharge
TXNP501166,Mobile recharge,Grocery
TXNP501167,Internet broadband bill,Food
TXNP501168,Insurance premium debit,Travel
TXNP501169,Prime Video subscription,Tax
TXNP501170,Electricity bill payment,Grocery
TXNP501171,Electricity bill payment,Salary
TXNP501172,Internet broadband bill,Travel
TXNP501173,Electricity bill payment,EMI
TXNP501174,Consulting fee,Shopping
TXNP501175,Amazon order,Salary
TXNP501176,Consulting fee,Refund
TXNP501177,Restaurant dinner,Business Expense
TXNP501178,Vendor payment,Subscription
TXNP501179,Electricity bill payment,Wallet
TXNP501180,Internet broadband bill,Fuel
TXNP501181,GST tax payment,Salary
TXNP501182,Netflix subscription,Refund
TXNP501183,Prime Video subscription,EMI
TXNP501184,Fuel refill HP petrol,Wallet
TXNP501185,Electricity bill payment,Food
TXNP501186,Gym membership,Shopping
TXNP501187,Swiggy dinner,Grocery
TXNP501188,Wallet top-up,EMI
TXNP501189,GST tax payment,Grocery
TXNP501190,GST tax payment,Utility
TXNP501191,Loan EMI debit,Parking
TXNP501192,Prime Video subscription,Food
TXNP501193,Insurance premium debit,Refund
TXNP501194,Electricity bill payment,Service Expense
TXNP501195,Restaurant dinner,Parking
TXNP501196,Prime Video subscription,Wallet
TXNP501197,Internet broadband bill,Business Expense
TXNP501198,Insurance premium debit,EMI
TXNP501199,GST tax payment,Shopping
TXNP501200,Vendor payment,Food
TXNP501201,Parking fee,Insurance
TXNP501202,Swiggy dinner,Insurance
TXNP501203,Salary credited,EMI
TXNP501204,Zomato lunch,Grocery
TXNP501205,Internet broadband bill,Recharge
TXNP501206,Mobile recharge,Grocery
TXNP501207,Salary credited,Wallet
TXNP501208,Netflix subscription,Insurance
TXNP501209,Zomato lunch,Travel
TXNP501210,Salary credited,Travel
TXNP501211,Salary credited,Service Expense
TXNP501212,Refund from Amazon,Fuel
TXNP501213,Insurance premium debit,Travel
TXNP501214,Swiggy dinner,Recharge
TXNP501215,Loan EMI debit,Utility
TXNP501216,Wallet top-up,Salary
TXNP501217,Refund from Amazon,Shopping
TXNP501218,Internet broadband bill,Food
TXNP501219,Gym membership,Recharge
TXNP501220,Insurance premium debit,Business Expense
TXNP501221,Consulting fee,Utility
TXNP501222,GST tax payment,Grocery
TXNP501223,Prime Video subscription,Subscription
TXNP501224,Gym membership,Grocery
TXNP501225,Fuel refill HP petrol,Fuel
TXNP501226,Internet broadband bill,Wallet
TXNP501227,Flight booking MakeMyTrip,Refund
TXNP501228,Parking fee,Salary
TXNP501229,Internet broadband bill,Salary
TXNP501230,Loan EMI debit,Grocery
TXNP501231,Fuel refill HP petrol,Wallet
TXNP501232,Loan EMI debit,Refund
TXNP501233,Fuel refill HP petrol,Shopping
TXNP501234,Mobile recharge,Recharge
TXNP501235,Restaurant dinner,Business Expense
TXNP501236,Amazon order,Salary
TXNP501237,Salary credited,Fuel
TXNP501238,Consulting fee,Insurance
TXNP501239,Netflix subscription,Shopping
TXNP501240,UPI to grocery,Shopping
TXNP501241,Loan EMI debit,Recharge
TXNP501242,Consulting fee,Subscription
TXNP501243,Flight booking MakeMyTrip,Business Expense
TXNP501244,Electricity bill payment,Wallet
TXNP501245,Insurance premium debit,Travel
TXNP501246,Insurance premium debit,EMI
TXNP501247,Refund from Amazon,Recharge
TXNP501248,Gym membership,Food
TXNP501249,Fuel refill HP petrol,Utility
TXNP501250,Fuel refill HP petrol,Travel
TXNP501251,Mobile recharge,Refund
TXNP501252,Restaurant dinner,EMI
TXNP501253,Swiggy dinner,Subscription
TXNP501254,Wallet top-up,Salary
TXNP501255,Refund from Amazon,EMI
TXNP501256,Fuel refill HP petrol,Salary
TXNP501257,Flight booking MakeMyTrip,Travel
TXNP501258,Salary credited,Travel
TXNP501259,Loan EMI debit,EMI
TXNP501260,GST tax payment,Insurance
TXNP501261,Amazon order,Food
TXNP501262,Zomato lunch,Travel
TXNP501263,Salary credited,Food
TXNP501264,GST tax payment,Food
TXNP501265,Fuel refill HP petrol,Subscription
TXNP501266,Zomato lunch,Shopping
TXNP501267,UPI to grocery,Grocery
TXNP501268,GST tax payment,Wallet
TXNP501269,GST tax payment,Parking
TXNP501270,Zomato lunch,EMI
TXNP501271,Fuel refill HP petrol,Salary
TXNP501272,Fuel refill HP petrol,EMI
TXNP501273,Zomato lunch,Fuel
TXNP501274,Internet broadband bill,Utility
TXNP501275,Amazon order,Insurance
TXNP501276,Electricity bill payment,Parking
TXNP501277,Restaurant dinner,Food
TXNP501278,Vendor payment,EMI
TXNP501279,Internet broadband bill,Food
TXNP501280,Vendor payment,Grocery
TXNP501281,Amazon order,Service Expense
TXNP501282,Restaurant dinner,Food
TXNP501283,Fuel refill HP petrol,Food
TXNP501284,Amazon order,Insurance
TXNP501285,Office stationery,Food
TXNP501286,Netflix subscription,Recharge
TXNP501287,Flight booking MakeMyTrip,Salary
TXNP501288,Insurance premium debit,Business Expense
TXNP501289,Swiggy dinner,Subscription
TXNP501290,Fuel refill HP petrol,Recharge
TXNP501291,Fuel refill HP petrol,Subscription
TXNP501292,Electricity bill payment,Utility
TXNP501293,Vendor payment,Fuel
TXNP501294,Flight booking MakeMyTrip,Wallet
TXNP501295,Office stationery,Wallet
TXNP501296,Wallet top-up,Food
TXNP501297,Vendor payment,EMI
TXNP501298,Amazon order,Grocery
TXNP501299,GST tax payment,Food
TXNP501300,Salary credited,Utility
TXNP501301,Salary credited,Travel
TXNP501302,Zomato lunch,Utility
TXNP501303,Swiggy dinner,Salary
TXNP501304,Zomato lunch,Refund
TXNP501305,Amazon order,Wallet
TXNP501306,Flight booking MakeMyTrip,Service Expense
TXNP501307,Flight booking MakeMyTrip,Wallet
TXNP501308,Mobile recharge,EMI
TXNP501309,Electricity bill payment,Tax
TXNP501310,Swiggy dinner,Refund
TXNP501311,Prime Video subscription,Salary
TXNP501312,Mobile recharge,Wallet
TXNP501313,Refund from Amazon,Subscription
TXNP501314,Parking fee,Food
TXNP501315,Electricity bill payment,Shopping
TXNP501316,Prime Video subscription,Grocery
TXNP501317,Prime Video subscription,Utility
TXNP501318,Zomato lunch,Food
TXNP501319,Office stationery,Wallet
TXNP501320,Salary credited,Salary
TXNP501321,Wallet top-up,Subscription
TXNP501322,Prime Video subscription,Travel
TXNP501323,Insurance premium debit,Wallet
TXNP501324,UPI to grocery,Business Expense
TXNP501325,Loan EMI debit,Salary
TXNP501326,Refund from Amazon,Fuel
TXNP501327,Restaurant dinner,Recharge
TXNP501328,Internet broadband bill,Business Expense
TXNP501329,Salary credited,Tax
TXNP501330,Loan EMI debit,Shopping
TXNP501331,Vendor payment,Subscription
TXNP501332,Loan EMI debit,Grocery
TXNP501333,Loan EMI debit,Service Expense
TXNP501334,Parking fee,Parking
TXNP501335,Office stationery,Utility
TXNP501336,UPI to grocery,Travel
TXNP501337,UPI to grocery,Salary
TXNP501338,Netflix subscription,Food
TXNP501339,Fuel refill HP petrol,Fuel
TXNP501340,Gym membership,Wallet
TXNP501341,Mobile recharge,Subscription
TXNP501342,Flight booking MakeMyTrip,Insurance
TXNP501343,Netflix subscription,Fuel
TXNP501344,Swiggy dinner,Business Expense
TXNP501345,Restaurant dinner,Subscription
TXNP501346,Swiggy dinner,Salary
TXNP501347,Restaurant dinner,Parking
TXNP501348,Restaurant dinner,Salary
TXNP501349,Vendor payment,Business Expense
TXNP501350,Loan EMI debit,Shopping
TXNP501351,Gym membership,Grocery
TXNP501352,Restaurant dinner,Food
TXNP501353,Flight booking MakeMyTrip,Recharge
TXNP501354,Amazon order,EMI
TXNP501355,Restaurant dinner,Salary
TXNP501356,Salary credited,Wallet
TXNP501357,Office stationery,Subscription
TXNP501358,Fuel refill HP petrol,Food
TXNP501359,Mobile recharge,Utility
TXNP501360,Zomato lunch,Food
TXNP501361,Prime Video subscription,Salary
TXNP501362,Flight booking MakeMyTrip,Business Expense
TXNP501363,Wallet top-up,Business Expense
TXNP501364,Netflix subscription,Wallet
TXNP501365,Insurance premium debit,EMI
TXNP501366,Salary credited,Tax
TXNP501367,Salary credited,Refund
TXNP501368,Insurance premium debit,Business Expense
TXNP501369,Salary credited,Recharge
TXNP501370,Office stationery,Tax
TXNP501371,UPI to grocery,Wallet
TXNP501372,Loan EMI debit,Food
TXNP501373,Swiggy dinner,Subscription
TXNP501374,UPI to grocery,Refund
TXNP501375,Consulting fee,Wallet
TXNP501376,Zomato lunch,Shopping
TXNP501377,Netflix subscription,Recharge
TXNP501378,Vendor payment,Wallet
TXNP501379,Restaurant dinner,Utility
TXNP501380,Restaurant dinner,Salary
TXNP501381,Amazon order,Wallet
TXNP501382,Salary credited,Travel
TXNP501383,Flight booking MakeMyTrip,Fuel
TXNP501384,Refund from Amazon,Shopping
TXNP501385,Electricity bill payment,Insurance
TXNP501386,Swiggy dinner,Salary
TXNP501387,Electricity bill payment,Food
TXNP501388,Amazon order,Utility
TXNP501389,Office stationery,Utility
TXNP501390,GST tax payment,Utility
TXNP501391,Swiggy dinner,Food
TXNP501392,Consulting fee,Salary
TXNP501393,GST tax payment,Food
TXNP501394,Loan EMI debit,Fuel
TXNP501395,Netflix subscription,Fuel
TXNP501396,Prime Video subscription,Food
TXNP501397,Salary credited,Business Expense
TXNP501398,Mobile recharge,Grocery
TXNP501399,Office stationery,Fuel
TXNP501400,Office stationery,Salary
TXNP501401,Wallet top-up,Salary
TXNP501402,Loan EMI debit,Wallet
TXNP501403,Insurance premium debit,Wallet
TXNP501404,Gym membership,Service Expense
TXNP501405,Consulting fee,Refund
TXNP501406,Flight booking MakeMyTrip,Subscription
TXNP501407,Netflix subscription,Salary
TXNP501408,Gym membership,Grocery
TXNP501409,Parking fee,Salary
TXNP501410,Amazon order,Utility
TXNP501411,Office stationery,Refund
TXNP501412,Office stationery,Recharge
TXNP501413,Internet broadband bill,Salary
